Name,SMILES,MW
tricresyl phosphate,P(=O)(Oc1c(cccc1C)O)(Oc2c(ccc(c2)O)C)Oc3c(cc(cc3)O)C,416.366
trimazosin,N1(CCN(CC1)C(=O)OCC(O)(C)C)c2nc3c(c(n2)N)cc(c(c3OC)OC)OC,435.481
Ugi product 104C (UC),O=C(CNC(=O)OC(C)(C)C)N(Cc1ccco1)C(c2ccc(OC)c(OC)c2)C(=O)NC(C)(C)C,503.596
Ugi product 108C (UC),O=C(CNC(=O)OC(C)(C)C)N(Cc1ccco1)C(c2ccccc2)C(=O)NCc3ccccc3,477.561
Ugi product 109C(UC),O=C(CNC(=O)OC(C)(C)C)N(Cc1ccc(o1)C(F)(F)F)C(c2ccccc2)C(=O)NCc3ccccc3,545.558
Ugi product 148B,CC(C)(C)NC(=O)C(N(CCCCCCC)C(=O)\C=C\C)c2cc3ccccc3c1ccccc12,472.673
Ugi product 150D(UC),CC(C)(C)NC(=O)C(N(Cc1ccccc1)C(=O)\C=C\C)c3cc4ccccc4c2ccccc23,464.609
Ugi product 171K (UC),CN(C)c1ccc(cc1)C(C(=O)NC(C)(C)C)N(C)C(=O)CCCc5ccc4ccc3cccc2ccc5c4c23,533.716
Ugi product 173B (UC),CC(C)(C)NC(=O)C(N(C)C(=O)CCCc4ccc3ccc2cccc1ccc4c3c12)c5ccc(C)cc5,504.674
Ugi product 173G (UC),COc1cc(cc(OC)c1)C(C(=O)NCCCC)N(Cc2ccccc2)C(=O)C#Cc3ccccc3,484.596
Ugi product 176C (UC),O=C(Cc1ccccc1)N(Cc2ccco2)C(c4cc5ccccc5c3ccccc34)C(=O)NCCCC,504.63
